"","label","cluster"
"1","Crepidula fornicata","1"
"2","Membranipora membranacea","1"
"3","Schizoporella unicornis","1"
"4","Botrylloides violaceus","1"
"5","Botryllus schlosseri","1"
"6","Modiolus modiolus","1"
"7","Mytilus edulis","1"
"8","Metridium senile","1"
"9","Anomia simplex","2"
"10","Hiatella arctica","3"
"11","Semibalanus balanoides","3"
"12","Spirorbis","2"
"13","Strongylocentrotus droebachiensis","3"
"14","Cancer borealis","1"
"15","Cancer irroratus","2"
"16","Henricia sanguinolenta","2"
"17","Asterias forbesi","2"
"18","Asterias rubens","2"
"19","Amphipoda","2"
"20","Carcinus maenus","2"
"21","Littorina saxatilis","1"
"22","Tectura testudinalis","3"
"23","Nucella lapillus","3"
"24","Littorina littorea","3"
"25","Lacuna vincta","1"
"26","Littorina obtusata","1"
