"Tautogolabrus adspersus"
"Pollachius virens"
"Tautoga onitis"
"Pseudopleuronectes americanus"
"Urophycis regia"
"Morone saxatilis"
"Agarum clathratum"
"UNID Juv Laminariales"
"Desmarestia aculeata"
"Desmarestia viridis"
"Homarus americanus"
"Myoxocephalus"
"Pholis gunnellus"
"Boltenia echinata"
"Ulvaria"
"Buccinum undatum"
"Metridium senile pallidus"
"Echinarachnius parma"
"Urticina felina"
"Laminaria digitata"
"Halosiphon tomentosus"
"Placopecten magellanicus"
"Boltenia ovifera"
"Pachycerianthus borealis"
"Carcinus maenas"
"Myoxocephalus octodecemspinosus"
"Cyclopterus lumpus"
"Myoxocephalus scorpius"
"Cucumaria frondosa"
"Anomia"
"Aplidium pallidum"
"Amphipod tube mat"
"Barnacle"
"Cliona"
"Encrusting coralline"
"Dasysiphonia japonica"
"Lithothamnion"
"Phycodrys rubens"
"Red Algal Turf"
"Tricellaria inopinata"
"Unidentified Erect Coralline"
"Unidentified Red Blade"
"Blady Ulvoid"
"Ceramium"
"Diatom Tube Mat"
"Patinella verrucaria"
"Unidentified Filamentous Red"
"Botrylloides violaceus"
"Crisularia turrita"
"Diplosoma listerianum"
"Halichondria (Halichondria) panicea"
"Polyides rotunda"
"Spermothamnion repens"
"Tubular Ulvoid"
"Ciona savignyi"
"Ophiopholis aculeata"
"Boreochiton ruber"
"Dendrodoa carnea"
"Testudinalia testudinalis"
"Leptophytum acervatum"
"Lithophyllum"
"Phymatolithon"
"Crisia eburnea"
"Thylacodes"
"Filamentous Green"
"Coccotylus truncatus"
"Leucosolenia"
"Obelia"
"Bugulina spicata"
"Dendrobeania murrayana"
"Stenosemus albus"
"Didemnum albidum"
"Halisarca dujardinii"
"Ciona intestinalis"
"Dumontia contorta"
"Hymedesmia"
"Titanoderma"
