"Tautogolabrus adspersus"
"Pollachius virens"
"Tautoga onitis"
"Pseudopleuronectes americanus"
"Urophycis regia"
"Morone saxatilis"
"Agarum clathratum"
"Desmarestia aculeata"
"Desmarestia viridis"
"Homarus americanus"
"Pholis gunnellus"
"Boltenia echinata"
"Buccinum undatum"
"Metridium senile pallidus"
"Echinarachnius parma"
"Urticina felina"
"Laminaria digitata"
"Halosiphon tomentosus"
"Placopecten magellanicus"
"Boltenia ovifera"
"Pachycerianthus borealis"
"Carcinus maenas"
"Myoxocephalus octodecemspinosus"
"Cyclopterus lumpus"
"Myoxocephalus scorpius"
"Cucumaria frondosa"
"Aplidium pallidum"
"Dasysiphonia japonica"
"Lithothamnion"
"Phycodrys rubens"
"Tricellaria inopinata"
"Ceramium"
"Patinella verrucaria"
"Botrylloides violaceus"
"Crisularia turrita"
"Diplosoma listerianum"
"Halichondria (Halichondria) panicea"
"Polyides rotunda"
"Spermothamnion repens"
"Ciona savignyi"
"Ophiopholis aculeata"
"Boreochiton ruber"
"Dendrodoa carnea"
"Testudinalia testudinalis"
"Leptophytum acervatum"
"Lithophyllum"
"Crisia eburnea"
"Thylacodes"
"Filamentous Green"
"Coccotylus truncatus"
"Leucosolenia"
"Obelia"
"Bugulina spicata"
"Dendrobeania murrayana"
"Stenosemus albus"
"Didemnum albidum"
"Halisarca dujardinii"
"Ciona intestinalis"
"Dumontia contorta"
"Hymedesmia"
"Titanoderma"
